Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes,Team
1931,PCC,10,1,0.0,0.909,7,0,0,1.0,28.06,11.78,,,,Howard Jones (10-1),Rose Bowl-W,,USC
1930,PCC,8,2,0.0,0.8,5,1,0,0.833,19.89,4.59,,,,Howard Jones (8-2),,,USC
1929,PCC,10,2,0.0,0.833,6,1,0,0.857,20.48,4.32,,,,Howard Jones (10-2),Rose Bowl-W,,USC
1928,PCC,9,0,1.0,0.95,4,0,1,0.9,16.5,0.8,,,,Howard Jones (9-0-1),,,USC
1927,PCC,8,1,1.0,0.85,4,0,1,0.9,15.68,0.38,,,,Howard Jones (8-1-1),,,USC
1926,PCC,8,2,0.0,0.8,5,1,0,0.833,16.38,1.88,,,,Howard Jones (8-2),,,USC
1925,PCC,11,2,0.0,0.846,3,2,0,0.6,12.85,-4.39,,,,Howard Jones (11-2),,,USC
1924,PCC,9,2,0.0,0.818,2,1,0,0.667,11.32,-1.59,,,,Gus Henderson (9-2),Los Angeles Christmas Festival-W,,USC
1923,PCC,6,2,0.0,0.75,2,2,0,0.5,6.96,-0.79,,,,Gus Henderson (6-2),,,USC
1922,PCC,10,1,0.0,0.909,3,1,0,0.75,10.08,-3.92,,,,Gus Henderson (10-1),Rose Bowl-W,,USC
